 ,Area,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret,Length
1,1.737,0,3.047,361.250,25.500,111.571,0.828,0.000
2,3.665,0,4.499,237.833,64.667,149.804,1.126,0.000
3,1.911,0,2.502,198.000,186.000,30.619,0.982,0.000
4,3.266,0,3.830,35.125,504.750,48.837,1.335,0.000
5,3.266,0,3.581,82.625,718.500,25.622,1.160,0.000
6,2.067,0,2.422,118.750,1040.125,123.906,1.001,0.000
7,3.839,0,4.313,165.625,1050.500,81.653,1.379,0.000
8,5.073,0,4.253,265.750,821.500,112.791,1.614,0.000
9,5.576,0,6.350,170.250,861.250,106.272,1.381,0.000
10,2.519,0,3.295,125.500,659.750,120.669,1.002,0.000
11,2.832,0,3.072,266.250,299.250,125.395,1.363,0.000
12,2.797,0,3.322,551.333,354.333,110.113,1.236,0.000
13,3.440,0,3.261,368.667,508.333,54.597,1.299,0.000
14,2.710,0,3.022,346.333,540.167,120.106,1.195,0.000
15,2.536,0,2.972,354.167,711.667,48.296,1.087,0.000
16,2.884,0,3.634,403.667,698.000,127.632,1.282,0.000
17,4.551,0,4.370,283.667,687.667,164.846,1.665,0.000
18,3.318,0,3.638,510.250,539.500,141.988,1.272,0.000
19,3.405,0,3.555,497.500,52.750,124.426,1.285,0.000
20,2.953,0,3.938,616.000,679.000,125.463,1.188,0.000
21,2.293,0,2.908,776.500,703.000,51.442,1.096,0.000
22,4.082,0,4.149,700.000,853.000,157.100,1.467,0.000
23,3.474,0,3.727,1003.000,877.667,39.979,1.366,0.000
24,2.971,0,3.689,1040.167,666.333,150.382,1.051,0.000
25,2.519,0,2.735,1163.333,380.167,84.931,1.166,0.000
26,2.675,0,3.098,873.250,275.500,122.845,1.088,0.000
27,3.110,0,3.747,949.833,463.167,129.289,1.076,0.000
28,2.502,0,3.263,942.500,526.167,140.738,0.962,0.000
29,2.293,0,2.540,921.333,663.667,130.440,1.091,0.000
30,1.980,0,2.391,924.500,692.667,128.660,1.102,0.000
