 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.841,2.628,900.667,1014,113.136,0.819
2,2.085,2.821,901.667,967.333,171.491,1.007
3,1.477,2.038,954.5,821.667,48.059,0.882
4,1.424,2.523,951.5,233.833,97.001,0.747
5,2.085,2.763,859.75,114.5,98.227,1.198
6,1.164,1.946,562.875,792.25,158.649,0.887
7,2.814,3.105,64.667,633.833,27.834,1.166
8,2.502,3.273,1116.5,470.667,69.984,1.019
9,3.057,3.273,1199.75,657,4.62,1.442
10,2.449,2.709,1217.75,604.75,126.591,1.16
11,1.807,2.751,860.75,135,83.811,1.111
12,4.777,3.971,1035,820.25,9.071,1.698
13,2.814,3.687,1194,921.5,155.726,0.941
14,4.725,3.779,115.25,711,137.827,1.702
15,5.524,4.088,217,466.333,171.347,1.668
16,4.447,3.605,830.333,304.167,149.216,1.596
17,3.231,3.088,858.167,92.833,129.806,1.266
18,3.509,3.482,693.75,1034.25,55.408,1.307
19,4.864,3.425,402.75,1026.5,172.26,2.011
20,4.951,3.679,459.667,503.333,40.156,1.881
21,4.204,3.756,325.75,227,7.561,1.294
