 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2.137,2.834,629.000,434.333,119.745,1.012
2,1.112,2.116,577.667,689.667,48.366,0.746
3,1.199,2.211,525.667,179.333,69.044,0.825
4,1.303,2.052,440.750,328.500,119.859,0.840
5,1.737,2.769,366.000,968.250,141.766,0.907
6,1.511,2.642,144.333,856.500,137.021,0.685
7,1.633,2.193,184.500,835.667,119.389,0.987
8,1.338,2.419,199.500,1008.167,57.609,0.852
9,1.112,2.054,276.167,716.500,57.670,0.732
10,1.928,2.627,208.167,580.833,14.036,0.951
11,2.397,2.671,59.333,54.000,143.696,1.153
12,1.598,2.291,611.333,295.667,34.452,0.973
13,1.199,1.959,538.667,644.333,70.346,0.810
14,1.424,2.001,512.667,823.000,70.769,0.923
15,1.442,2.130,939.500,438.750,34.919,0.857
16,1.772,2.548,903.500,671.000,49.720,0.992
17,2.571,2.788,833.750,82.500,151.011,1.184
18,0.747,1.682,732.250,13.667,168.323,0.569
19,1.372,2.281,1111.667,509.333,110.879,0.777
20,2.623,3.014,1036.333,919.000,53.297,1.398
21,3.318,3.237,1013.000,506.333,161.811,1.318
22,1.390,2.155,1057.750,400.750,113.429,0.924
23,1.199,1.978,1223.167,919.833,102.184,0.798
24,1.390,2.516,1164.167,813.500,84.489,0.703
25,1.164,1.882,1006.000,282.125,139.616,0.824
26,3.075,2.835,701.333,333.333,139.399,1.398
27,1.980,2.574,598.000,585.500,39.806,0.953
28,2.554,2.802,470.250,956.500,41.186,1.125
29,1.772,2.537,460.500,457.667,29.006,0.866
30,2.154,2.506,893.500,739.750,28.250,1.075
