 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,7.765,5.243,565.5,853.5,104.56,1.817
2,4.812,3.549,528.5,855.5,148.671,1.763
3,2.988,3.001,623,781,8.842,1.123
4,5.681,3.689,219,569.5,131.379,1.931
5,5.298,3.719,77,725,97.125,1.894
6,6.08,3.902,86,162,164.32,1.987
7,3.301,2.925,117,110.5,67.479,1.512
8,3.196,2.877,167,91.5,159.905,1.562
9,4.169,3.899,498.75,417.75,69.727,1.328
10,5.264,4.436,198.5,177,128.062,1.757
11,3.804,3.81,963.333,184.333,69.057,1.496
12,2.554,2.635,666.875,19.375,47.534,1.142
