,glcnac,no
1A01,6.061509825918095,
3B05,,
3C02,7.765962378229966,
3D04,,
3D05,3.7808707590487436,
3F01,0.47238373154790986,
4A10,,
4B03,,
4B04,7.213204763304205,
4D01,6.4698546365576535,
4D10,,2.791840268590353
4E07,,3.0997621113768816
4F10,,
4G03,7.722237701551823,
4G09,3.25739875534759,
4H09,,
5C01,,
5D01,,
5F01,,
5F06,,1.3390750819396875
5G01,,
6C01,,
6D02,,
6D03,8.154938415957464,
6E01,5.917238363582193,
6E02,5.7242830593444625,
6E03,4.6884282506023425,
6G02,,
A1R05,,
A1R06,,
A1R11,,
A2R01,,
A2R07,,
A2R16,1.0484699284463244,
A3M17,1.6524301536509982,
A3R04,0.13361134909507383,
A3R06,2.850459393623343,
B1R08,,
B1R10,,
B1R15,,
B2M13,,
B2M14,,
B2R04,3.391168457986181,
B2R09,,
B2R22,,
B3M03,,
B3M18,,
B3R09,,
B3R10,4.919420742151549,
B3R15,5.689456672763195,
C1R08,,
C2M04,5.626630011274185,
C2M19,0.05900390924522832,
C2R07,4.44512662962295,
C2R09,,
C2R11,,
C2R13,,
C2R21,,
C3M06,,
C3M08,,
C3M10,,
C3R10,,
C3R12,5.963980738846586,
D2M19,,
D2R04,,
D2R18,,
D2R19,,
D3M06,,
D3R02,,
E2M05,,
E2M18,0.6968338712294078,
E2R12,,
E3M02,,
F1R01,,
F1R02,5.177353860173409,
F1R06,,
F2M12,,0.4536185440276574
F2R05,,0.4364087977927221
F2R10,,0.33529759848105156
F2R13,,
F2R14,,
F2R15,8.148975962715507,
F3M06,0.6270004088394584,
F3M07,3.413977507813431,
F3M13,,
G1M02,2.163847530456277,
G1M14,3.9512926203508063,
G1M15,4.878856552984411,
G2M01,4.8353458785727135,1.416318127920194
G2M05,9.563197796724124,
G2M07,,
G2R07,,
G2R13,,
G2R14,,
G3M07,6.860556956982745,
G3M13,4.56161836730977,
