,MB
1A01,3.4462386705431034
3B05,
3C02,8.640272561088272
3D04,4.8533781887628855
3D05,7.356017370988844
3F01,3.283243043160591
4A10,
4B03,5.158353241398668
4B04,7.398496363820565
4D01,13.320078764856959
4D10,
4E07,8.576549301066704
4F10,10.177179517769016
4G03,5.790472192822974
4G09,9.587602749860608
4H09,
5C01,10.81049723246967
5D01,12.038341460698458
5F01,13.007343178135104
5F06,
5G01,
6C01,8.48376211035398
6D02,
6D03,1.8334302464794345
6E01,3.6457577983441563
6E02,4.6016913287234065
6E03,4.224027737321254
6G02,
A1R05,11.865057860833858
A1R06,4.170587345507689
A1R11,2.2684397933991294
A2R01,10.480448926095782
A2R07,14.98645277809015
A2R16,
A3M17,12.333879355294458
A3R04,11.16511196333892
A3R06,
B1R08,7.757874482233442
B1R10,5.705599744446815
B1R15,
B2M13,10.34994531627304
B2M14,
B2R04,8.812404108779681
B2R09,14.484627842850765
B2R22,
B3M03,13.05389552910343
B3M18,
B3R09,
B3R10,
B3R15,15.464996772057205
C1R08,
C2M04,
C2M19,10.570132120836446
C2R07,13.246089661840228
C2R09,
C2R11,10.79088195096824
C2R13,10.109980991472098
C2R21,5.053266341964205
C3M06,
C3M08,2.4731435043112966
C3M10,2.8688967346459964
C3R10,12.746995520593343
C3R12,6.481176279114064
D2M19,16.719718952387645
D2R04,
D2R18,
D2R19,
D3M06,
D3R02,17.729874778212206
E2M05,
E2M18,1.9722826084416747
E2R12,9.449464116423036
E3M02,10.064254915866618
F1R01,
F1R02,17.20811881599016
F1R06,2.569449634252929
F2M12,
F2R05,10.931694834730614
F2R10,
F2R13,9.63592293806404
F2R14,
F2R15,4.2602176409620505
F3M06,6.3676490636503535
F3M07,11.952794192525753
F3M13,8.196975177531272
G1M02,
G1M14,11.862069809388219
G1M15,7.301614892070354
G2M01,12.919601915425979
G2M05,12.11798925887821
G2M07,9.339743007964906
G2R07,11.783806468261877
G2R13,9.429447238864718
G2R14,8.965934388888291
G3M07,13.096720215580964
G3M13,14.272223214776645
